query_type,queries,tfidf_ndcg@10,bm25_ndcg@10,supervised_ndcg@10,ltr_ndcg@10,ltr_minus_bm25
exact_product_match,7,0.9926698105702952,0.9879241491639572,0.9884525323078791,1.0,0.012075850836042805
general,37,0.9321831226408254,0.9065541684407586,0.9299766852996566,0.8934133626624827,-0.013140805778275906
long,8,0.9272987286902699,0.9241721176822022,0.9314956603532478,0.9504740034554866,0.026301885773284364
short,20,0.9123052099432133,0.7926921180625227,0.9088069593515105,0.9045278267616947,0.11183570869917207
