number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_training_time_seconds,system_attrs_tpe:relative_params:0,state
18,0.9025539675210484,2026-09-17 02:18:51.798245,2026-09-17 02:18:57.801433,0 days 00:00:06.003188,0.912577292585459,0.010161001959514247,4,58,200,60,7.2026638005022275e-06,4.1233289961087236e-08,0.7071959360014447,6.0013293999945745,"{""colsample_bytree"": 0.912577292585459, ""learning_rate"": 0.010161001959514247, ""max_depth"": 4, ""min_child_samples"": 58, ""n_estimators"": 200, ""num_leaves"": 60, ""reg_alpha"": 7.2026638005022275e-06, ""reg_lambda"": 4.1233289961087236e-08, ""subsample"": 0.7071959360014447}",COMPLETE
19,0.9071371335010894,2026-09-17 02:18:57.802441,2026-09-17 02:19:08.028150,0 days 00:00:10.225709,0.9694401007404589,0.01718964969959869,6,41,300,55,6.377483741682455e-08,6.097389911054418e-07,0.7194501620310512,10.22389879997354,"{""colsample_bytree"": 0.9694401007404589, ""learning_rate"": 0.01718964969959869, ""max_depth"": 6, ""min_child_samples"": 41, ""n_estimators"": 300, ""num_leaves"": 55, ""reg_alpha"": 6.377483741682455e-08, ""reg_lambda"": 6.097389911054418e-07, ""subsample"": 0.7194501620310512}",COMPLETE
20,0.8987416182529119,2026-09-17 02:19:08.028150,2026-09-17 02:19:14.197868,0 days 00:00:06.169718,0.9985166583241787,0.01019772288326004,5,63,200,61,1.2159898993867084e-06,2.7574172617449967e-05,0.7324207382677118,6.167630399926566,"{""colsample_bytree"": 0.9985166583241787, ""learning_rate"": 0.01019772288326004, ""max_depth"": 5, ""min_child_samples"": 63, ""n_estimators"": 200, ""num_leaves"": 61, ""reg_alpha"": 1.2159898993867084e-06, ""reg_lambda"": 2.7574172617449967e-05, ""subsample"": 0.7324207382677118}",COMPLETE
21,0.9170071814594412,2026-09-17 02:19:14.200366,2026-09-17 02:19:20.597839,0 days 00:00:06.397473,0.9505939928560402,0.014454974555133428,6,57,200,44,8.706535491326155e-07,0.0009995469422556399,0.7059159558789889,6.396212500054389,"{""colsample_bytree"": 0.9505939928560402, ""learning_rate"": 0.014454974555133428, ""max_depth"": 6, ""min_child_samples"": 57, ""n_estimators"": 200, ""num_leaves"": 44, ""reg_alpha"": 8.706535491326155e-07, ""reg_lambda"": 0.0009995469422556399, ""subsample"": 0.7059159558789889}",COMPLETE
22,0.9016521168844878,2026-09-17 02:19:20.598851,2026-09-17 02:19:26.365685,0 days 00:00:05.766834,0.9855523671498579,0.025742938698934455,6,43,200,53,1.6832187798513171e-06,0.00045194874539876797,0.7149223830288092,5.765149099985138,"{""colsample_bytree"": 0.9855523671498579, ""learning_rate"": 0.025742938698934455, ""max_depth"": 6, ""min_child_samples"": 43, ""n_estimators"": 200, ""num_leaves"": 53, ""reg_alpha"": 1.6832187798513171e-06, ""reg_lambda"": 0.00045194874539876797, ""subsample"": 0.7149223830288092}",COMPLETE
23,0.8975305153280746,2026-09-17 02:19:26.367006,2026-09-17 02:19:32.249519,0 days 00:00:05.882513,0.999719643585804,0.013031538167811477,7,45,200,52,6.009323586721957e-08,3.169018766626187e-05,0.7338189144320436,5.878747100010514,"{""colsample_bytree"": 0.999719643585804, ""learning_rate"": 0.013031538167811477, ""max_depth"": 7, ""min_child_samples"": 45, ""n_estimators"": 200, ""num_leaves"": 52, ""reg_alpha"": 6.009323586721957e-08, ""reg_lambda"": 3.169018766626187e-05, ""subsample"": 0.7338189144320436}",COMPLETE
24,0.9258111071478373,2026-09-17 02:19:32.250526,2026-09-17 02:19:39.278508,0 days 00:00:07.027982,0.9838439044179911,0.020802011414413783,4,36,300,63,1.1915291670797411e-06,7.283347237673456e-06,0.7807495814759893,7.026614299975336,"{""colsample_bytree"": 0.9838439044179911, ""learning_rate"": 0.020802011414413783, ""max_depth"": 4, ""min_child_samples"": 36, ""n_estimators"": 300, ""num_leaves"": 63, ""reg_alpha"": 1.1915291670797411e-06, ""reg_lambda"": 7.283347237673456e-06, ""subsample"": 0.7807495814759893}",COMPLETE
25,0.9009253405073611,2026-09-17 02:19:39.280125,2026-09-17 02:19:43.749703,0 days 00:00:04.469578,0.9425381626619762,0.018838107844013262,3,44,200,62,4.192747298971803e-08,4.835914860257859e-06,0.7139869038212076,4.4687843000283465,"{""colsample_bytree"": 0.9425381626619762, ""learning_rate"": 0.018838107844013262, ""max_depth"": 3, ""min_child_samples"": 44, ""n_estimators"": 200, ""num_leaves"": 62, ""reg_alpha"": 4.192747298971803e-08, ""reg_lambda"": 4.835914860257859e-06, ""subsample"": 0.7139869038212076}",COMPLETE
26,0.9180067620184834,2026-09-17 02:19:43.750705,2026-09-17 02:19:51.218080,0 days 00:00:07.467375,0.9342547495719797,0.015387927450411912,4,28,300,60,5.305577288680627e-06,4.486009293676201e-06,0.7336926314774848,7.4669814999215305,"{""colsample_bytree"": 0.9342547495719797, ""learning_rate"": 0.015387927450411912, ""max_depth"": 4, ""min_child_samples"": 28, ""n_estimators"": 300, ""num_leaves"": 60, ""reg_alpha"": 5.305577288680627e-06, ""reg_lambda"": 4.486009293676201e-06, ""subsample"": 0.7336926314774848}",COMPLETE
27,0.9043526726444466,2026-09-17 02:19:51.219590,2026-09-17 02:19:59.350657,0 days 00:00:08.131067,0.9775417077620574,0.010598906222587284,6,46,300,56,4.9572237867750744e-05,0.00016628053766030526,0.7529861211286623,8.129987600026652,"{""colsample_bytree"": 0.9775417077620574, ""learning_rate"": 0.010598906222587284, ""max_depth"": 6, ""min_child_samples"": 46, ""n_estimators"": 300, ""num_leaves"": 56, ""reg_alpha"": 4.9572237867750744e-05, ""reg_lambda"": 0.00016628053766030526, ""subsample"": 0.7529861211286623}",COMPLETE
28,0.93112094217387,2026-09-17 02:19:59.351657,2026-09-17 02:20:09.842913,0 days 00:00:10.491256,0.9341300466228825,0.016138208987909165,4,30,400,60,9.98987182924255e-08,0.00026629010666087726,0.7589569511823345,10.489375400007702,"{""colsample_bytree"": 0.9341300466228825, ""learning_rate"": 0.016138208987909165, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 400, ""num_leaves"": 60, ""reg_alpha"": 9.98987182924255e-08, ""reg_lambda"": 0.00026629010666087726, ""subsample"": 0.7589569511823345}",COMPLETE
29,0.9084584741183946,2026-09-17 02:20:09.842913,2026-09-17 02:20:19.848076,0 days 00:00:10.005163,0.908502363861727,0.022952618573320913,4,46,400,63,1.4300245053026518e-08,2.545264321103655e-05,0.7894544557483618,10.002687499974854,"{""colsample_bytree"": 0.908502363861727, ""learning_rate"": 0.022952618573320913, ""max_depth"": 4, ""min_child_samples"": 46, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_alpha"": 1.4300245053026518e-08, ""reg_lambda"": 2.545264321103655e-05, ""subsample"": 0.7894544557483618}",COMPLETE
